name,Age,G,GS,MP,FG,FGA,FGP,Three_P,Three_PA,Three_PP,Two_P,Two_PA,Two_PP,eFGP,FT,FTA,FTP,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,year,place,team,team_abbr
James Young,21,29,0,220,25,58,0.431,12,35,0.343,13,23,0.565,0.534,6,9,0.667,6,20,26,4,10,2,4,15,68,2017,Boston,Celtics,BOS
Jordan Mickey,22,25,1,141,15,34,0.441,0,1,0.0,15,33,0.455,0.441,8,14,0.571,13,21,34,7,3,6,9,12,38,2017,Boston,Celtics,BOS
Demetrius Jackson,22,5,0,17,3,4,0.75,1,1,1.0,2,3,0.667,0.875,3,6,0.5,2,2,4,3,0,0,0,0,10,2017,Boston,Celtics,BOS
Nik Stauskas,23,80,27,2188,251,634,0.396,132,359,0.368,119,275,0.433,0.5,122,150,0.813,21,205,226,188,45,32,128,144,756,2017,Philadelphia,76ers,PHI
T.J. McConnell,24,81,51,2133,236,512,0.461,11,55,0.2,225,457,0.492,0.472,73,90,0.811,39,212,251,534,134,10,159,139,556,2017,Philadelphia,76ers,PHI
Dario Šarić,22,81,36,2129,381,927,0.411,106,341,0.311,275,586,0.469,0.468,172,220,0.782,112,401,513,182,57,30,183,162,1040,2017,Philadelphia,76ers,PHI
Robert Covington,26,67,67,2119,292,732,0.399,137,412,0.333,155,320,0.484,0.492,143,174,0.822,92,344,436,102,127,69,131,203,864,2017,Philadelphia,76ers,PHI
Gerald Henderson,29,72,41,1667,234,553,0.423,61,173,0.353,173,380,0.455,0.478,133,165,0.806,34,151,185,112,40,15,62,129,662,2017,Philadelphia,76ers,PHI
Sergio Rodríguez,30,68,30,1518,210,536,0.392,92,252,0.365,118,284,0.415,0.478,18,27,0.667,21,136,157,344,49,4,128,95,530,2017,Philadelphia,76ers,PHI
Ersan İlyasova,29,53,40,1447,285,648,0.44,107,298,0.359,178,350,0.509,0.522,109,142,0.768,71,243,314,97,33,14,78,133,786,2017,Philadelphia,76ers,PHI
Richaun Holmes,23,57,17,1193,230,412,0.558,27,77,0.351,203,335,0.606,0.591,72,103,0.699,94,217,311,58,42,55,55,136,559,2017,Philadelphia,76ers,PHI
Timothé Luwawu-Cabarrot,21,69,19,1190,145,361,0.402,50,161,0.311,95,200,0.475,0.471,105,123,0.854,25,124,149,75,32,10,73,154,445,2017,Philadelphia,76ers,PHI
Jahlil Okafor,21,50,33,1134,242,471,0.514,0,0,0.0,242,471,0.514,0.514,106,158,0.671,81,159,240,58,20,49,91,122,590,2017,Philadelphia,76ers,PHI
Joel Embiid,22,31,31,786,200,429,0.466,36,98,0.367,164,331,0.495,0.508,191,244,0.783,61,182,243,66,27,76,117,112,627,2017,Philadelphia,76ers,PHI
Nerlens Noel,22,29,7,564,107,175,0.611,0,1,0.0,107,174,0.615,0.611,43,63,0.683,46,98,144,30,43,26,29,71,257,2017,Philadelphia,76ers,PHI
Hollis Thompson,25,31,1,561,66,159,0.415,26,71,0.366,40,88,0.455,0.497,13,20,0.65,15,69,84,26,14,6,9,55,171,2017,Philadelphia,76ers,PHI
Justin Anderson,23,24,8,518,75,162,0.463,21,72,0.292,54,90,0.6,0.528,32,41,0.78,30,66,96,34,13,7,26,45,203,2017,Philadelphia,76ers,PHI
Shawn Long,24,18,0,234,61,109,0.56,7,19,0.368,54,90,0.6,0.592,19,35,0.543,41,44,85,13,9,9,13,49,148,2017,Philadelphia,76ers,PHI
Alex Poythress,23,6,1,157,25,54,0.463,6,19,0.316,19,35,0.543,0.519,8,10,0.8,11,18,29,5,3,2,3,14,64,2017,Philadelphia,76ers,PHI
Tiago Splitter,32,8,0,76,14,31,0.452,2,6,0.333,12,25,0.48,0.484,9,11,0.818,8,14,22,4,1,1,6,8,39,2017,Philadelphia,76ers,PHI
Chasson Randle,23,8,0,74,12,26,0.462,6,15,0.4,6,11,0.545,0.577,12,12,1.0,0,5,5,6,3,1,3,11,42,2017,Philadelphia,76ers,PHI
Jerryd Bayless,28,3,1,71,11,32,0.344,2,5,0.4,9,27,0.333,0.375,9,10,0.9,3,9,12,13,0,0,9,4,33,2017,Philadelphia,76ers,PHI
Jerami Grant,22,2,0,41,6,17,0.353,0,2,0.0,6,15,0.4,0.353,4,8,0.5,0,6,6,0,0,4,3,5,16,2017,Philadelphia,76ers,PHI
Justin Harper,27,3,0,31,5,12,0.417,2,7,0.286,3,5,0.6,0.5,0,0,0.0,2,3,5,2,0,0,4,2,12,2017,Philadelphia,76ers,PHI
Brook Lopez,28,75,75,2222,555,1172,0.474,134,387,0.346,421,785,0.536,0.531,295,364,0.81,121,282,403,176,38,124,184,192,1539,2017,Brooklyn,Nets,BRK
Rondae Hollis-Jefferson,22,78,50,1761,235,542,0.434,15,67,0.224,220,475,0.463,0.447,190,253,0.751,96,356,452,154,82,44,116,177,675,2017,Brooklyn,Nets,BRK
Sean Kilpatrick,27,70,24,1754,305,735,0.415,105,308,0.341,200,427,0.468,0.486,204,242,0.843,22,258,280,157,45,6,135,118,919,2017,Brooklyn,Nets,BRK
Trevor Booker,29,71,43,1754,305,591,0.516,25,78,0.321,280,513,0.546,0.537,74,110,0.673,143,428,571,138,75,28,127,152,709,2017,Brooklyn,Nets,BRK
Isaiah Whitehead,21,73,26,1643,204,508,0.402,44,149,0.295,160,359,0.446,0.445,91,113,0.805,32,152,184,192,42,36,142,175,543,2017,Brooklyn,Nets,BRK
Bojan Bogdanović,27,55,54,1482,269,611,0.44,99,277,0.357,170,334,0.509,0.521,146,167,0.874,23,174,197,90,24,3,93,99,783,2017,Brooklyn,Nets,BRK
Spencer Dinwiddie,23,59,18,1334,134,302,0.444,38,101,0.376,96,201,0.478,0.507,126,159,0.792,27,137,164,185,44,23,66,119,432,2017,Brooklyn,Nets,BRK
Randy Foye,33,69,40,1284,118,325,0.363,67,203,0.33,51,122,0.418,0.466,54,63,0.857,9,146,155,135,35,9,80,99,357,2017,Brooklyn,Nets,BRK
Caris LeVert,22,57,26,1237,171,380,0.45,59,184,0.321,112,196,0.571,0.528,67,93,0.72,23,165,188,110,49,8,59,91,468,2017,Brooklyn,Nets,BRK
Justin Hamilton,26,64,7,1177,174,379,0.459,55,180,0.306,119,199,0.598,0.532,39,52,0.75,71,191,262,55,29,43,43,91,442,2017,Brooklyn,Nets,BRK
Joe Harris,25,52,11,1138,154,362,0.425,85,221,0.385,69,141,0.489,0.543,35,49,0.714,16,131,147,54,30,8,55,121,428,2017,Brooklyn,Nets,BRK
Jeremy Lin,28,36,33,883,175,400,0.438,58,156,0.372,117,244,0.48,0.51,115,141,0.816,11,124,135,184,42,14,86,79,523,2017,Brooklyn,Nets,BRK
Quincy Acy,26,32,1,510,65,153,0.425,36,83,0.434,29,70,0.414,0.542,43,57,0.754,18,89,107,18,14,15,19,58,209,2017,Brooklyn,Nets,BRK
Luis Scola,36,36,1,461,71,151,0.47,17,50,0.34,54,101,0.535,0.526,25,37,0.676,51,88,139,37,14,4,34,63,184,2017,Brooklyn,Nets,BRK
K.J. McDaniels,23,20,0,293,46,101,0.455,11,39,0.282,35,62,0.565,0.51,23,28,0.821,9,43,52,9,12,10,19,25,126,2017,Brooklyn,Nets,BRK
Anthony Bennett,23,23,1,264,38,92,0.413,13,48,0.271,25,44,0.568,0.484,26,36,0.722,25,53,78,12,5,3,12,18,115,2017,Brooklyn,Nets,BRK
Archie Goodwin,22,12,0,184,34,61,0.557,4,13,0.308,30,48,0.625,0.59,23,32,0.719,7,21,28,23,4,4,14,7,95,2017,Brooklyn,Nets,BRK
Yogi Ferrell,23,10,0,151,18,49,0.367,8,27,0.296,10,22,0.455,0.449,10,16,0.625,4,8,12,17,2,2,14,11,54,2017,Brooklyn,Nets,BRK
Andrew Nicholson,27,10,0,111,13,34,0.382,2,11,0.182,11,23,0.478,0.412,2,2,1.0,4,23,27,3,5,0,6,18,30,2017,Brooklyn,Nets,BRK
Chris McCullough,21,14,0,72,16,31,0.516,1,6,0.167,15,25,0.6,0.532,2,3,0.667,9,8,17,2,1,2,2,7,35,2017,Brooklyn,Nets,BRK
Greivis Vásquez,30,3,0,39,2,8,0.25,1,3,0.333,1,5,0.2,0.313,2,3,0.667,0,2,2,5,1,1,1,6,7,2017,Brooklyn,Nets,BRK
Carmelo Anthony,32,74,74,2538,602,1389,0.433,151,421,0.359,451,968,0.466,0.488,304,365,0.833,62,376,438,213,60,34,153,198,1659,2017,New York,Knicks,NYK
Courtney Lee,31,77,74,2459,321,704,0.456,108,269,0.401,213,435,0.49,0.533,85,98,0.867,53,206,259,179,81,24,69,141,835,2017,New York,Knicks,NYK
Kristaps Porziņģis,21,66,65,2164,443,985,0.45,112,314,0.357,331,671,0.493,0.507,198,252,0.786,111,364,475,97,47,129,118,244,1196,2017,New York,Knicks,NYK
Derrick Rose,28,64,64,2082,460,977,0.471,13,60,0.217,447,917,0.487,0.477,221,253,0.874,66,180,246,283,44,17,147,84,1154,2017,New York,Knicks,NYK
Justin Holiday,27,82,4,1639,233,538,0.433,97,273,0.355,136,265,0.513,0.523,66,80,0.825,27,198,225,102,65,31,66,109,629,2017,New York,Knicks,NYK
Brandon Jennings,27,58,11,1428,163,429,0.38,68,200,0.34,95,229,0.415,0.459,102,135,0.756,21,131,152,287,55,4,106,84,496,2017,New York,Knicks,NYK
Willy Hernangómez,22,72,22,1324,246,465,0.529,4,15,0.267,242,450,0.538,0.533,91,125,0.728,170,332,502,96,41,36,100,150,587,2017,New York,Knicks,NYK
Kyle O'Quinn,26,79,8,1229,215,413,0.521,2,17,0.118,213,396,0.538,0.523,64,83,0.771,157,282,439,117,36,104,76,174,496,2017,New York,Knicks,NYK
Mindaugas Kuzminskas,27,68,5,1016,158,369,0.428,54,168,0.321,104,201,0.517,0.501,55,68,0.809,47,79,126,69,29,11,51,79,425,2017,New York,Knicks,NYK
Joakim Noah,31,46,46,1015,99,202,0.49,0,1,0.0,99,201,0.493,0.49,34,78,0.436,162,241,403,103,30,37,58,127,232,2017,New York,Knicks,NYK
Lance Thomas,28,46,15,968,97,244,0.398,38,85,0.447,59,159,0.371,0.475,43,51,0.843,32,110,142,35,21,5,25,85,275,2017,New York,Knicks,NYK
Ron Baker,23,52,13,857,82,217,0.378,23,86,0.267,59,131,0.45,0.431,28,43,0.651,12,86,98,107,34,8,56,74,215,2017,New York,Knicks,NYK
Sasha Vujačić,32,42,4,408,42,136,0.309,23,74,0.311,19,62,0.306,0.393,17,24,0.708,12,47,59,52,13,2,16,38,124,2017,New York,Knicks,NYK
Maurice Ndour,24,32,4,331,39,86,0.453,1,7,0.143,38,79,0.481,0.459,19,26,0.731,22,42,64,8,15,8,12,30,98,2017,New York,Knicks,NYK
Chasson Randle,23,18,0,225,28,72,0.389,10,32,0.313,18,40,0.45,0.458,29,31,0.935,6,21,27,28,6,1,16,28,95,2017,New York,Knicks,NYK
Marshall Plumlee,24,21,1,170,16,30,0.533,0,0,0.0,16,30,0.533,0.533,8,19,0.421,23,28,51,10,4,4,12,23,40,2017,New York,Knicks,NYK
Giannis Antetokounmpo,22,80,80,2845,656,1259,0.521,49,180,0.272,607,1079,0.563,0.541,471,612,0.77,142,558,700,434,131,151,234,246,1832,2017,Milwaukee,Bucks,MIL
Tony Snell,25,80,80,2336,246,541,0.455,144,355,0.406,102,186,0.548,0.588,47,58,0.81,22,226,248,96,55,14,55,125,683,2017,Milwaukee,Bucks,MIL
Matthew Dellavedova,26,76,54,1986,208,534,0.39,79,215,0.367,129,319,0.404,0.463,82,96,0.854,24,123,147,357,53,0,133,153,577,2017,Milwaukee,Bucks,MIL
Malcolm Brogdon,24,75,28,1982,290,635,0.457,78,193,0.404,212,442,0.48,0.518,109,126,0.865,47,166,213,317,84,12,113,140,767,2017,Milwaukee,Bucks,MIL
Greg Monroe,26,81,0,1823,387,726,0.533,0,4,0.0,387,722,0.536,0.533,177,239,0.741,167,365,532,187,92,38,140,168,951,2017,Milwaukee,Bucks,MIL
Jabari Parker,21,51,50,1728,399,814,0.49,65,178,0.365,334,636,0.525,0.53,162,218,0.743,79,235,314,142,50,22,93,111,1025,2017,Milwaukee,Bucks,MIL
Jason Terry,39,74,0,1365,105,243,0.432,73,171,0.427,32,72,0.444,0.582,24,29,0.828,15,91,106,98,46,20,36,95,307,2017,Milwaukee,Bucks,MIL
Mirza Teletović,31,70,2,1133,156,418,0.373,104,305,0.341,52,113,0.46,0.498,35,45,0.778,11,151,162,48,12,13,37,109,451,2017,Milwaukee,Bucks,MIL
John Henson,26,58,39,1123,159,309,0.515,0,1,0.0,159,308,0.516,0.515,74,107,0.692,92,203,295,57,29,78,52,151,392,2017,Milwaukee,Bucks,MIL
Michael Beasley,28,56,6,935,216,406,0.532,18,43,0.419,198,363,0.545,0.554,78,105,0.743,40,153,193,53,27,27,66,92,528,2017,Milwaukee,Bucks,MIL
Khris Middleton,25,29,23,889,150,333,0.45,45,104,0.433,105,229,0.459,0.518,81,92,0.88,11,112,123,99,41,7,65,79,426,2017,Milwaukee,Bucks,MIL
Thon Maker,19,57,34,562,83,181,0.459,28,74,0.378,55,107,0.514,0.536,32,49,0.653,40,74,114,23,10,26,17,84,226,2017,Milwaukee,Bucks,MIL
Rashad Vaughn,20,41,2,458,57,156,0.365,26,81,0.321,31,75,0.413,0.449,2,5,0.4,4,45,49,23,19,10,14,32,142,2017,Milwaukee,Bucks,MIL
Miles Plumlee,28,32,12,310,30,68,0.441,0,0,0.0,30,68,0.441,0.441,22,35,0.629,23,30,53,18,11,9,22,48,82,2017,Milwaukee,Bucks,MIL
Spencer Hawes,28,19,0,171,30,59,0.508,9,26,0.346,21,33,0.636,0.585,14,18,0.778,6,39,45,19,2,4,9,16,83,2017,Milwaukee,Bucks,MIL
Gary Payton,24,6,0,99,8,22,0.364,1,9,0.111,7,13,0.538,0.386,3,5,0.6,0,12,12,13,3,4,10,9,20,2017,Milwaukee,Bucks,MIL
Steve Novak,33,8,0,22,2,7,0.286,1,6,0.167,1,1,1.0,0.357,0,0,0.0,0,3,3,0,0,0,0,1,5,2017,Milwaukee,Bucks,MIL
Terrence Jones,25,3,0,6,0,3,0.0,0,0,0.0,0,3,0.0,0.0,0,0,0.0,0,3,3,0,1,1,0,0,0,2017,Milwaukee,Bucks,MIL
Axel Toupane,24,2,0,6,0,1,0.0,0,1,0.0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,2017,Milwaukee,Bucks,MIL
Paul George,26,75,75,2689,622,1348,0.461,195,496,0.393,427,852,0.501,0.534,336,374,0.898,58,434,492,251,119,27,220,206,1775,2017,Indiana,Pacers,IND
Jeff Teague,28,82,82,2657,402,909,0.442,90,252,0.357,312,657,0.475,0.492,360,415,0.867,33,297,330,639,100,32,216,165,1254,2017,Indiana,Pacers,IND
Myles Turner,20,81,81,2541,444,869,0.511,40,115,0.348,404,754,0.536,0.534,245,303,0.809,139,450,589,106,74,172,105,262,1173,2017,Indiana,Pacers,IND
Thaddeus Young,28,74,74,2237,362,687,0.527,45,118,0.381,317,569,0.557,0.56,45,86,0.523,131,317,448,122,113,29,95,135,814,2017,Indiana,Pacers,IND
Monta Ellis,31,74,33,1998,247,557,0.443,43,135,0.319,204,422,0.483,0.482,93,128,0.727,19,185,204,236,78,27,135,149,630,2017,Indiana,Pacers,IND
C.J. Miles,29,76,29,1776,281,647,0.434,169,409,0.413,112,238,0.471,0.565,84,93,0.903,30,199,229,48,46,25,40,151,815,2017,Indiana,Pacers,IND
Glenn Robinson,23,69,27,1427,158,338,0.467,49,125,0.392,109,213,0.512,0.54,54,76,0.711,57,189,246,47,41,20,37,63,419,2017,Indiana,Pacers,IND
Al Jefferson,32,66,1,931,235,471,0.499,0,1,0.0,235,470,0.5,0.499,65,85,0.765,75,203,278,57,19,16,33,125,535,2017,Indiana,Pacers,IND
Aaron Brooks,32,65,0,894,121,300,0.403,48,128,0.375,73,172,0.424,0.483,32,40,0.8,18,51,69,125,25,9,66,93,322,2017,Indiana,Pacers,IND
Lavoy Allen,27,61,5,871,77,168,0.458,0,1,0.0,77,167,0.461,0.458,23,33,0.697,105,114,219,57,18,24,29,78,177,2017,Indiana,Pacers,IND
Rodney Stuckey,30,39,0,696,91,244,0.373,19,60,0.317,72,184,0.391,0.412,80,107,0.748,6,78,84,84,16,0,53,44,281,2017,Indiana,Pacers,IND
Kevin Séraphin,27,49,3,559,109,198,0.551,0,2,0.0,109,196,0.556,0.551,14,22,0.636,41,101,142,23,7,20,29,66,232,2017,Indiana,Pacers,IND
Rakeem Christmas,25,29,0,219,19,43,0.442,0,0,0.0,19,43,0.442,0.442,21,29,0.724,26,30,56,4,3,6,8,37,59,2017,Indiana,Pacers,IND
Joe Young,24,33,0,135,26,72,0.361,5,23,0.217,21,49,0.429,0.396,11,15,0.733,1,16,17,15,4,0,5,5,68,2017,Indiana,Pacers,IND
Lance Stephenson,26,6,0,132,18,44,0.409,5,8,0.625,13,36,0.361,0.466,2,3,0.667,1,23,24,25,3,2,11,12,43,2017,Indiana,Pacers,IND
Georges Niang,23,23,0,93,9,36,0.25,1,12,0.083,8,24,0.333,0.264,2,2,1.0,2,15,17,5,3,0,5,6,21,2017,Indiana,Pacers,IND
Jimmy Butler,27,76,75,2809,570,1252,0.455,91,248,0.367,479,1004,0.477,0.492,585,676,0.865,129,341,470,417,143,32,159,112,1816,2017,Chicago,Bulls,CHI
Robin Lopez,28,81,81,2271,382,775,0.493,0,2,0.0,382,773,0.494,0.493,75,104,0.721,244,276,520,80,18,117,91,151,839,2017,Chicago,Bulls,CHI
Rajon Rondo,30,69,42,1843,229,561,0.408,50,133,0.376,179,428,0.418,0.453,30,50,0.6,73,282,355,461,99,11,169,144,538,2017,Chicago,Bulls,CHI
Dwyane Wade,35,60,59,1792,414,955,0.434,45,145,0.31,369,810,0.456,0.457,223,281,0.794,63,207,270,228,86,41,138,112,1096,2017,Chicago,Bulls,CHI
Nikola Mirotić,25,70,15,1679,258,625,0.413,129,377,0.342,129,248,0.52,0.516,99,128,0.773,61,323,384,75,53,55,80,128,744,2017,Chicago,Bulls,CHI
Taj Gibson,31,55,55,1502,276,530,0.521,2,12,0.167,274,518,0.529,0.523,85,119,0.714,120,262,382,60,27,50,77,123,639,2017,Chicago,Bulls,CHI
Doug McDermott,25,44,4,1078,166,373,0.445,56,150,0.373,110,223,0.493,0.52,59,67,0.881,14,116,130,45,11,4,32,57,447,2017,Chicago,Bulls,CHI
Cristiano Felício,24,66,0,1040,128,221,0.579,0,0,0.0,128,221,0.579,0.579,60,93,0.645,124,187,311,40,25,17,33,110,316,2017,Chicago,Bulls,CHI
Jerian Grant,24,63,28,1028,128,301,0.425,49,134,0.366,79,167,0.473,0.507,65,73,0.89,17,94,111,121,47,8,44,93,370,2017,Chicago,Bulls,CHI
Bobby Portis,21,64,13,1000,183,375,0.488,32,96,0.333,151,279,0.541,0.531,39,59,0.661,75,221,296,35,16,11,37,94,437,2017,Chicago,Bulls,CHI
Denzel Valentine,23,57,0,976,102,288,0.354,73,208,0.351,29,80,0.363,0.481,14,18,0.778,11,140,151,63,30,7,49,86,291,2017,Chicago,Bulls,CHI
Michael Carter-Williams,25,45,19,846,112,306,0.366,15,64,0.234,97,242,0.401,0.391,58,77,0.753,24,129,153,113,38,23,66,102,297,2017,Chicago,Bulls,CHI
Paul Zipser,22,44,18,843,88,221,0.398,33,99,0.333,55,122,0.451,0.473,31,40,0.775,15,110,125,36,15,16,40,78,240,2017,Chicago,Bulls,CHI
Isaiah Canaan,25,39,0,592,63,173,0.364,25,94,0.266,38,79,0.481,0.436,30,33,0.909,6,44,50,37,22,1,21,35,181,2017,Chicago,Bulls,CHI
Joffrey Lauvergne,25,20,1,241,37,92,0.402,6,20,0.3,31,72,0.431,0.435,9,15,0.6,21,47,68,19,7,0,16,12,89,2017,Chicago,Bulls,CHI
Cameron Payne,22,11,0,142,21,63,0.333,11,34,0.324,10,29,0.345,0.421,1,4,0.25,1,16,17,15,4,0,13,14,54,2017,Chicago,Bulls,CHI
Anthony Morrow,31,9,0,87,12,29,0.414,6,14,0.429,6,15,0.4,0.517,11,11,1.0,1,1,2,6,2,0,0,4,41,2017,Chicago,Bulls,CHI
R.J. Hunter,23,3,0,9,0,1,0.0,0,1,0.0,0,0,0.0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,2017,Chicago,Bulls,CHI
Tobias Harris,24,82,48,2567,511,1063,0.481,109,314,0.347,402,749,0.537,0.532,190,226,0.841,63,353,416,142,60,39,96,133,1321,2017,Detroit,Pistons,DET
Marcus Morris,27,79,79,2565,421,1007,0.418,118,357,0.331,303,650,0.466,0.477,145,185,0.784,77,289,366,160,52,25,87,168,1105,2017,Detroit,Pistons,DET
Kentavious Caldwell-Pope,23,76,75,2529,370,928,0.399,153,437,0.35,217,491,0.442,0.481,154,185,0.832,55,193,248,193,89,12,86,118,1047,2017,Detroit,Pistons,DET
Andre Drummond,23,81,81,2409,483,911,0.53,2,7,0.286,481,904,0.532,0.531,137,355,0.386,345,770,1115,90,124,89,152,237,1105,2017,Detroit,Pistons,DET
Ish Smith,28,81,32,1955,329,749,0.439,28,105,0.267,301,644,0.467,0.458,72,102,0.706,21,214,235,418,61,33,112,127,758,2017,Detroit,Pistons,DET
Jon Leuer,27,75,34,1944,310,646,0.48,49,167,0.293,261,479,0.545,0.518,98,113,0.867,102,300,402,111,31,26,66,145,767,2017,Detroit,Pistons,DET
Reggie Jackson,26,52,50,1424,284,677,0.419,66,184,0.359,218,493,0.442,0.468,118,136,0.868,21,93,114,270,35,5,114,129,752,2017,Detroit,Pistons,DET
Stanley Johnson,20,77,1,1371,129,365,0.353,45,154,0.292,84,211,0.398,0.415,36,53,0.679,36,153,189,105,56,24,71,121,339,2017,Detroit,Pistons,DET
Aron Baynes,30,75,2,1163,143,279,0.513,0,0,0.0,143,279,0.513,0.513,79,94,0.84,111,222,333,32,17,39,50,166,365,2017,Detroit,Pistons,DET
Beno Udrih,34,39,0,560,92,197,0.467,11,32,0.344,81,165,0.491,0.495,32,34,0.941,6,51,57,131,13,0,36,29,227,2017,Detroit,Pistons,DET
Reggie Bullock,25,31,5,467,54,128,0.422,28,73,0.384,26,55,0.473,0.531,5,7,0.714,13,51,64,29,18,3,10,22,141,2017,Detroit,Pistons,DET
Darrun Hilliard,23,39,1,381,47,126,0.373,12,46,0.261,35,80,0.438,0.421,21,28,0.75,2,31,33,33,11,2,28,39,127,2017,Detroit,Pistons,DET
